Title,Year,Age Restrictions,Run Time,Genres,Plot,Ratings,Director,Writers,Actors,Runtime (minutes)
Best. Christmas. Ever!,2023,TV-PG,1h 22m,Comedy Romance,Friendships are put to the ultimate test over a boastful holiday newsletter.,4.4,Mary Lambert,Todd Calgi GallicanoCharles Shyer,Todd Calgi GallicanoCharles Shyer,82.0
Journey to Bethlehem,2023,PG,1h 38m,Adventure Family Musical,"This live-action Christmas musical adventure for the entire family, weaves classic Christmas melodies with humor, faith, and new pop songs in a retelling of the greatest story ever told, the story of Mary and Joseph and the birth of Jesus.",6.6,Adam Anders,Adam AndersPeter Barsocchini,Milo ManheimAntonio BanderasFiona Palomo,98.0
Kingdom of the Planet of the Apes,2024,,,Action Sci-Fi,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",,Wes Ball,Patrick AisonJosh FriedmanRick Jaffa,Patrick AisonJosh FriedmanRick Jaffa,
Home Alone,1990,PG,1h 43m,Comedy Family,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",7.7,Chris Columbus,John Hughes,Macaulay CulkinJoe PesciDaniel Stern,103.0
The Godfather,1972,R,2h 55m,Crime Drama,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",9.2,Francis Ford Coppola,Mario PuzoFrancis Ford Coppola,Mario PuzoFrancis Ford Coppola,175.0
Interstellar,2014,PG-13,2h 49m,Adventure Drama Sci-Fi,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,Christopher Nolan,Jonathan NolanChristopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,169.0
National Lampoon's Christmas Vacation,1989,PG-13,1h 37m,Comedy,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,7.5,Jeremiah S. Chechik,John Hughes,Chevy ChaseBeverly D'AngeloJuliette Lewis,97.0
Harry Potter and the Sorcerer's Stone,2001,PG,2h 32m,Adventure Family Fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",7.6,Chris Columbus,J.K. RowlingSteve Kloves,Daniel RadcliffeRupert GrintRichard Harris,152.0
The Shawshank Redemption,1994,R,2h 22m,Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",9.3,Frank Darabont,Stephen KingFrank Darabont,Tim RobbinsMorgan FreemanBob Gunton,142.0
Please Don't Destroy: The Treasure of Foggy Mountain,2023,R,1h 32m,Comedy,"It follows three friends who live together. When they realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",6.2,Paul Briganti,Martin HerlihyJohn HigginsBen Marshall,Martin HerlihyJohn HigginsBen Marshall,92.0
